dc.contributor.advisor,dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.relation.ispartofseries,dc.title,dc.description.abstract,dc.identifier.other,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.subject,dc.contributor.other,dc.description.sponsorship,dc.rights,dc.rights.uri,dc.description,dc.identifier.citation,dc.contributor,dc.relation.isversionof,dc.description.degree,dc.relation.isreplacedby,dc.relation.uri,dc.relation.replaces,dc.relation,dc.date.updated,dc.identifier,dc.relation.isreferencedby,dc.contributor.department,dc.type,dspace.orderedauthors,dc.date.submitted,dc.contributor.editor,dc.coverage.spatial,dc.coverage.temporal,eprint.grantNumber,dc.relation.requires,dc.language.rfc3066,dc.publisher,dc.relation.haspart,dc.identifier.oclc,year,research_paper_id,text,predicted_topic
,"Kennell, Jonathan",2005-12-22T01:31:24Z,2005-12-22T01:31:24Z,2004-05-18,http://hdl.handle.net/1721.1/30472,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Generative Temporal Planning with Complex Processes,"Autonomous vehicles are increasingly being used in mission-critical applications, and robust methods are needed for controlling these inherently unreliable and complex systems.  This thesis advocates the use of model-based programming, which allows mission designers to program autonomous missions at the level of a coach or wing commander.  To support such a system, this thesis presents the Spock generative planner.  To generate plans, Spock must be able to piece together vehicle commands and team tactics that have a complex behavior represented by concurrent processes.  This is in contrast to traditional planners, whose operators represent simple atomic or durative actions.  Spock represents operators using the RMPL language, which describes behaviors using parallel and sequential compositions of state and activity episodes.  RMPL is useful for controlling mobile autonomous missions because it allows mission designers to quickly encode expressive activity models using object-oriented design methods and an intuitive set of activity combinators.  Spock also is significant in that it uniformly represents operators and plan-space processes in terms of Temporal Plan Networks, which support temporal flexibility for robust plan execution.  Finally, Spock is implemented as a forward progression optimal planner that walks monotonically forward through plan processes, closing any open conditions and resolving any conflicts.  This thesis describes the Spock algorithm in detail, along with example problems and test results.",MIT-CSAIL-TR-2004-032; AITR-2004-002,90 p.; 56421512 bytes; 2495752 bytes,application/postscript; application/pdf,en_US,"AI; planning ""temporal planning""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,334,"generative temporal planning with complex processes autonomous vehicles are increasingly being used in mission-critical applications, and robust methods are needed for controlling these inherently unreliable and complex systems.  this thesis advocates the use of model-based programming, which allows mission designers to program autonomous missions at the level of a coach or wing commander.  to support such a system, this thesis presents the spock generative planner.  to generate plans, spock must be able to piece together vehicle commands and team tactics that have a complex behavior represented by concurrent processes.  this is in contrast to traditional planners, whose operators represent simple atomic or durative actions.  spock represents operators using the rmpl language, which describes behaviors using parallel and sequential compositions of state and activity episodes.  rmpl is useful for controlling mobile autonomous missions because it allows mission designers to quickly encode expressive activity models using object-oriented design methods and an intuitive set of activity combinators.  spock also is significant in that it uniformly represents operators and plan-space processes in terms of temporal plan networks, which support temporal flexibility for robust plan execution.  finally, spock is implemented as a forward progression optimal planner that walks monotonically forward through plan processes, closing any open conditions and resolving any conflicts.  this thesis describes the spock algorithm in detail, along with example problems and test results.",language models
,"Stamatoiu, Oana L.",2005-12-22T01:31:32Z,2005-12-22T01:31:32Z,2004-05-18,http://hdl.handle.net/1721.1/30473,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Learning Commonsense Categorical Knowledge in a Thread Memory System,"If we are to understand how we can build machines capable of broadpurpose learning and reasoning, we must first aim to build systemsthat can represent, acquire, and reason about the kinds of commonsenseknowledge that we humans have about the world. This endeavor suggestssteps such as identifying the kinds of knowledge people commonly haveabout the world, constructing suitable knowledge representations, andexploring the mechanisms that people use to make judgments about theeveryday world. In this work, I contribute to these goals by proposingan architecture for a system that can learn commonsense knowledgeabout the properties and behavior of objects in the world. Thearchitecture described here augments previous machine learning systemsin four ways: (1) it relies on a seven dimensional notion of context,built from information recently given to the system, to learn andreason about objects' properties; (2) it has multiple methods that itcan use to reason about objects, so that when one method fails, it canfall back on others; (3) it illustrates the usefulness of reasoningabout objects by thinking about their similarity to other, betterknown objects, and by inferring properties of objects from thecategories that they belong to; and (4) it represents an attempt tobuild an autonomous learner and reasoner, that sets its own goals forlearning about the world and deduces new facts by reflecting on itsacquired knowledge. This thesis describes this architecture, as wellas a first implementation, that can learn from sentences such as ``Ablue bird flew to the tree'' and ``The small bird flew to the cage''that birds can fly. One of the main contributions of thiswork lies in suggesting a further set of salient ideas about how wecan build broader purpose commonsense artificial learners andreasoners.",MIT-CSAIL-TR-2004-033; AITR-2004-001,96 p.; 68735708 bytes; 2432875 bytes,application/postscript; application/pdf,en_US,AI; learning; context; categorization; similarity; Bridge; thread memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,336,"learning commonsense categorical knowledge in a thread memory system if we are to understand how we can build machines capable of broadpurpose learning and reasoning, we must first aim to build systemsthat can represent, acquire, and reason about the kinds of commonsenseknowledge that we humans have about the world. this endeavor suggestssteps such as identifying the kinds of knowledge people commonly haveabout the world, constructing suitable knowledge representations, andexploring the mechanisms that people use to make judgments about theeveryday world. in this work, i contribute to these goals by proposingan architecture for a system that can learn commonsense knowledgeabout the properties and behavior of objects in the world. thearchitecture described here augments previous machine learning systemsin four ways: (1) it relies on a seven dimensional notion of context,built from information recently given to the system, to learn andreason about objects' properties; (2) it has multiple methods that itcan use to reason about objects, so that when one method fails, it canfall back on others; (3) it illustrates the usefulness of reasoningabout objects by thinking about their similarity to other, betterknown objects, and by inferring properties of objects from thecategories that they belong to; and (4) it represents an attempt tobuild an autonomous learner and reasoner, that sets its own goals forlearning about the world and deduces new facts by reflecting on itsacquired knowledge. this thesis describes this architecture, as wellas a first implementation, that can learn from sentences such as ``ablue bird flew to the tree'' and ``the small bird flew to the cage''that birds can fly. one of the main contributions of thiswork lies in suggesting a further set of salient ideas about how wecan build broader purpose commonsense artificial learners andreasoners.",language models
,"Goler, Jonathan A.",2004-10-20T20:32:27Z,2004-10-20T20:32:27Z,2004-05-28,http://hdl.handle.net/1721.1/7115,AITR-2004-003,BioJADE: A Design and Simulation Tool for Synthetic Biological Systems,"The next generations of both biological engineering and computer engineering demand that control be  exerted at the molecular level. Creating, characterizing and controlling synthetic biological systems  may provide us with the ability to build cells that are capable of a plethora of activities, from  computation to synthesizing nanostructures. To develop these systems, we must have a set of tools not  only for synthesizing systems, but also designing and simulating them. The BioJADE project provides a  comprehensive, extensible design and simulation platform for synthetic biology. BioJADE is a graphical  design tool built in Java, utilizing a database back end, and supports a range of simulations using an  XML communication protocol. BioJADE currently supports a library of over 100 parts with which it can  compile designs into actual DNA, and then generate synthesis instructions to build the physical parts.  The BioJADE project contributes several tools to Synthetic Biology. BioJADE in itself is a powerful tool for  synthetic biology designers. Additionally, we developed and now make use of a centralized BioBricks  repository, which enables the sharing of BioBrick components between researchers, and vastly reduces  the barriers to entry for aspiring Synthetic Biologists.",AITR-2004-003,54 p.; 5905018 bytes; 1459615 bytes,application/postscript; application/pdf,en_US,AI; BioJADE; Synthetic Biology; DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,338,"biojade: a design and simulation tool for synthetic biological systems the next generations of both biological engineering and computer engineering demand that control be  exerted at the molecular level. creating, characterizing and controlling synthetic biological systems  may provide us with the ability to build cells that are capable of a plethora of activities, from  computation to synthesizing nanostructures. to develop these systems, we must have a set of tools not  only for synthesizing systems, but also designing and simulating them. the biojade project provides a  comprehensive, extensible design and simulation platform for synthetic biology. biojade is a graphical  design tool built in java, utilizing a database back end, and supports a range of simulations using an  xml communication protocol. biojade currently supports a library of over 100 parts with which it can  compile designs into actual dna, and then generate synthesis instructions to build the physical parts.  the biojade project contributes several tools to synthetic biology. biojade in itself is a powerful tool for  synthetic biology designers. additionally, we developed and now make use of a centralized biobricks  repository, which enables the sharing of biobrick components between researchers, and vastly reduces  the barriers to entry for aspiring synthetic biologists.",image classification
,"Goler, Jonathan A.",2005-12-22T01:31:51Z,2005-12-22T01:31:51Z,2004-05-28,http://hdl.handle.net/1721.1/30475,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,BioJADE: A Design and Simulation Tool for Synthetic Biological Systems,"The next generations of both biological engineering and computer engineering demand that control be exerted at the molecular level. Creating, characterizing and controlling synthetic biological systems may provide us with the ability to build cells that are capable of a plethora of activities, from computation to synthesizing nanostructures. To develop these systems, we must have a set of tools not only for synthesizing systems, but also designing and simulating them. The BioJADE project provides a comprehensive, extensible design and simulation platform for synthetic biology. BioJADE is a graphical design tool built in Java, utilizing a database back end, and supports a range of simulations using an XML communication protocol. BioJADE currently supports a library of over 100 parts with which it can compile designs into actual DNA, and then generate synthesis instructions to build the physical parts. The BioJADE project contributes several tools to Synthetic Biology. BioJADE in itself is a powerful tool for synthetic biology designers. Additionally, we developed and now make use of a centralized BioBricks repository, which enables the sharing of BioBrick components between researchers, and vastly reduces the barriers to entry for aspiring Synthetic Biologists.",MIT-CSAIL-TR-2004-036; AITR-2004-003,54 p.; 53265402 bytes; 4755231 bytes,application/postscript; application/pdf,en_US,AI; BioJADE; Synthetic Biology; DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,339,"biojade: a design and simulation tool for synthetic biological systems the next generations of both biological engineering and computer engineering demand that control be exerted at the molecular level. creating, characterizing and controlling synthetic biological systems may provide us with the ability to build cells that are capable of a plethora of activities, from computation to synthesizing nanostructures. to develop these systems, we must have a set of tools not only for synthesizing systems, but also designing and simulating them. the biojade project provides a comprehensive, extensible design and simulation platform for synthetic biology. biojade is a graphical design tool built in java, utilizing a database back end, and supports a range of simulations using an xml communication protocol. biojade currently supports a library of over 100 parts with which it can compile designs into actual dna, and then generate synthesis instructions to build the physical parts. the biojade project contributes several tools to synthetic biology. biojade in itself is a powerful tool for synthetic biology designers. additionally, we developed and now make use of a centralized biobricks repository, which enables the sharing of biobrick components between researchers, and vastly reduces the barriers to entry for aspiring synthetic biologists.",image classification
,"Hearn, Robert A.",2005-12-22T01:34:55Z,2005-12-22T01:34:55Z,2004-06-16,http://hdl.handle.net/1721.1/30479,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Building Grounded Abstractions for Artificial Intelligence Programming,"Most Artificial Intelligence (AI) work can be characterized as either ``high-level'' (e.g., logical, symbolic) or ``low-level'' (e.g., connectionist networks, behavior-based robotics). Each approach suffers from particular drawbacks. High-level AI uses abstractions that often have no relation to the way real, biological brains work. Low-level AI, on the other hand, tends to lack the powerful abstractions that are needed to express complex structures and relationships. I have tried to combine the best features of both approaches, by building a set of programming abstractions defined in terms of simple, biologically plausible components. At the ``ground level'', I define a primitive, perceptron-like computational unit. I then show how more abstract computational units may be implemented in terms of the primitive units, and show the utility of the abstract units in sample networks. The new units make it possible to build networks using concepts such as long-term memories, short-term memories, and frames. As a demonstration of these abstractions, I have implemented a simulator for ``creatures'' controlled by a network of abstract units. The creatures exist in a simple 2D world, and exhibit behaviors such as catching mobile prey and sorting colored blocks into matching boxes. This program demonstrates that it is possible to build systems that can interact effectively with a dynamic physical environment, yet use symbolic representations to control aspects of their behavior.",MIT-CSAIL-TR-2004-040; AITR-2004-004,58 p.; 45433655 bytes; 1795607 bytes,application/postscript; application/pdf,en_US,AI; Artificial Intelligence; Society of Mind; Multi-Agent Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,343,"building grounded abstractions for artificial intelligence programming most artificial intelligence (ai) work can be characterized as either ``high-level'' (e.g., logical, symbolic) or ``low-level'' (e.g., connectionist networks, behavior-based robotics). each approach suffers from particular drawbacks. high-level ai uses abstractions that often have no relation to the way real, biological brains work. low-level ai, on the other hand, tends to lack the powerful abstractions that are needed to express complex structures and relationships. i have tried to combine the best features of both approaches, by building a set of programming abstractions defined in terms of simple, biologically plausible components. at the ``ground level'', i define a primitive, perceptron-like computational unit. i then show how more abstract computational units may be implemented in terms of the primitive units, and show the utility of the abstract units in sample networks. the new units make it possible to build networks using concepts such as long-term memories, short-term memories, and frames. as a demonstration of these abstractions, i have implemented a simulator for ``creatures'' controlled by a network of abstract units. the creatures exist in a simple 2d world, and exhibit behaviors such as catching mobile prey and sorting colored blocks into matching boxes. this program demonstrates that it is possible to build systems that can interact effectively with a dynamic physical environment, yet use symbolic representations to control aspects of their behavior.",privacy/ethics
,"Hearn, Robert A.",2004-10-20T20:32:29Z,2004-10-20T20:32:29Z,2004-06-16,http://hdl.handle.net/1721.1/7116,AITR-2004-004,Building Grounded Abstractions for Artificial Intelligence Programming,"Most Artificial Intelligence (AI) work can be characterized as either ``high-level'' (e.g., logical, symbolic)  or ``low-level'' (e.g., connectionist networks, behavior-based robotics). Each approach suffers from  particular drawbacks. High-level AI uses abstractions that often have no relation to the way real,  biological brains work. Low-level AI, on the other hand, tends to lack the powerful abstractions that are  needed to express complex structures and relationships. I have tried to combine the best features of  both approaches, by building a set of programming abstractions defined in terms of simple, biologically  plausible components. At the ``ground level'', I define a primitive, perceptron-like computational unit.  I then show how more abstract computational units may be implemented in terms of the primitive  units, and show the utility of the abstract units in sample networks. The new units make it possible to  build networks using concepts such as long-term memories, short-term memories, and frames. As a  demonstration of these abstractions, I have implemented a simulator for ``creatures'' controlled by a  network of abstract units. The creatures exist in a simple 2D world, and exhibit behaviors such as  catching mobile prey and sorting colored blocks into matching boxes. This program demonstrates that  it is possible to build systems that can interact effectively with a dynamic physical environment, yet use  symbolic representations to control aspects of their behavior.",AITR-2004-004,58 p.; 330188 bytes; 26969 bytes,application/postscript; application/pdf,en_US,AI; Artificial Intelligence; Society of Mind; Multi-Agent Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,344,"building grounded abstractions for artificial intelligence programming most artificial intelligence (ai) work can be characterized as either ``high-level'' (e.g., logical, symbolic)  or ``low-level'' (e.g., connectionist networks, behavior-based robotics). each approach suffers from  particular drawbacks. high-level ai uses abstractions that often have no relation to the way real,  biological brains work. low-level ai, on the other hand, tends to lack the powerful abstractions that are  needed to express complex structures and relationships. i have tried to combine the best features of  both approaches, by building a set of programming abstractions defined in terms of simple, biologically  plausible components. at the ``ground level'', i define a primitive, perceptron-like computational unit.  i then show how more abstract computational units may be implemented in terms of the primitive  units, and show the utility of the abstract units in sample networks. the new units make it possible to  build networks using concepts such as long-term memories, short-term memories, and frames. as a  demonstration of these abstractions, i have implemented a simulator for ``creatures'' controlled by a  network of abstract units. the creatures exist in a simple 2d world, and exhibit behaviors such as  catching mobile prey and sorting colored blocks into matching boxes. this program demonstrates that  it is possible to build systems that can interact effectively with a dynamic physical environment, yet use  symbolic representations to control aspects of their behavior.",privacy/ethics
,"Teevan, Jaime",2004-10-08T20:43:15Z,2004-10-08T20:43:15Z,2004-06-18,http://hdl.handle.net/1721.1/6739,AIM-2004-012,How People Re-find Information When the Web Changes,"This paper investigates how people return to information in a dynamic information environment. For example, a person might want to return to Web content via a link encountered earlier on a Web page, only to learn that the link has since been removed. Changes can benefit users by providing new information, but they hinder returning to previously viewed information. The observational study presented here analyzed instances, collected via a Web search, where people expressed difficulty re-finding information because of changes to the information or its environment. A number of interesting observations arose from this analysis, including that the path originally taken to get to the information target appeared important in its re-retrieval, whereas, surprisingly, the temporal aspects of when the information was seen before were not. While people expressed frustration when problems arose, an explanation of why the change had occurred was often sufficient to allay that frustration, even in the absence of a solution. The implications of these observations for systems that support re-finding in dynamic environments are discussed.",AIM-2004-012,9 p.; 1451699 bytes; 688288 bytes,application/postscript; application/pdf,en_US,AI; re-finding; information management; dynamic information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,345,"how people re-find information when the web changes this paper investigates how people return to information in a dynamic information environment. for example, a person might want to return to web content via a link encountered earlier on a web page, only to learn that the link has since been removed. changes can benefit users by providing new information, but they hinder returning to previously viewed information. the observational study presented here analyzed instances, collected via a web search, where people expressed difficulty re-finding information because of changes to the information or its environment. a number of interesting observations arose from this analysis, including that the path originally taken to get to the information target appeared important in its re-retrieval, whereas, surprisingly, the temporal aspects of when the information was seen before were not. while people expressed frustration when problems arose, an explanation of why the change had occurred was often sufficient to allay that frustration, even in the absence of a solution. the implications of these observations for systems that support re-finding in dynamic environments are discussed.",language models
,"Teevan, Jaime",2005-12-22T01:35:01Z,2005-12-22T01:35:01Z,2004-06-18,http://hdl.handle.net/1721.1/30480,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,How People Re-find Information When the Web Changes,"This paper investigates how people return to information in a dynamic information environment.  For example, a person might want to return to Web content via a link encountered earlier on a Web page, only to learn that the link has since been removed.  Changes can benefit users by providing new information, but they hinder returning to previously viewed information.  The observational study presented here analyzed instances, collected via a Web search, where people expressed difficulty re-finding information because of changes to the information or its environment.  A number of interesting observations arose from this analysis, including that the path originally taken to get to the information target appeared important in its re-retrieval, whereas, surprisingly, the temporal aspects of when the information was seen before were not.  While people expressed frustration when problems arose, an explanation of why the change had occurred was often sufficient to allay that frustration, even in the absence of a solution.  The implications of these observations for systems that support re-finding in dynamic environments are discussed.",MIT-CSAIL-TR-2004-041; AIM-2004-012,9 p.; 16783533 bytes; 654765 bytes,application/postscript; application/pdf,en_US,AI; re-finding; information management; dynamic information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,346,"how people re-find information when the web changes this paper investigates how people return to information in a dynamic information environment.  for example, a person might want to return to web content via a link encountered earlier on a web page, only to learn that the link has since been removed.  changes can benefit users by providing new information, but they hinder returning to previously viewed information.  the observational study presented here analyzed instances, collected via a web search, where people expressed difficulty re-finding information because of changes to the information or its environment.  a number of interesting observations arose from this analysis, including that the path originally taken to get to the information target appeared important in its re-retrieval, whereas, surprisingly, the temporal aspects of when the information was seen before were not.  while people expressed frustration when problems arose, an explanation of why the change had occurred was often sufficient to allay that frustration, even in the absence of a solution.  the implications of these observations for systems that support re-finding in dynamic environments are discussed.",language models
,"Torralba, Antonio; Murphy, Kevin P.; Freeman, William T.",2005-12-22T01:35:14Z,2005-12-22T01:35:14Z,2004-06-25,http://hdl.handle.net/1721.1/30482,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Contextual models for object detection using boosted random fields,"We seek to both detect and segment objects in images.  To exploit both local image data as well as contextual information, we introduce Boosted Random Fields (BRFs), which uses Boosting to learn the graph structure and local evidence of a conditional random field (CRF). The graph structure is learned by assembling graph fragments in an additive model. The connections between individual pixels are not very informative, but by using dense graphs, we can pool information from large regions of the image; dense models also support efficient inference. We show how contextual information from other objects can improve detection performance, both in terms of accuracy and speed, by using a computational cascade. We apply our system to detect stuff and things in office and street scenes.",MIT-CSAIL-TR-2004-043; AIM-2004-013,10 p.; 11085755 bytes; 604755 bytes,application/postscript; application/pdf,en_US,AI; Object detection; context; boosting; BP; random fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,348,"contextual models for object detection using boosted random fields we seek to both detect and segment objects in images.  to exploit both local image data as well as contextual information, we introduce boosted random fields (brfs), which uses boosting to learn the graph structure and local evidence of a conditional random field (crf). the graph structure is learned by assembling graph fragments in an additive model. the connections between individual pixels are not very informative, but by using dense graphs, we can pool information from large regions of the image; dense models also support efficient inference. we show how contextual information from other objects can improve detection performance, both in terms of accuracy and speed, by using a computational cascade. we apply our system to detect stuff and things in office and street scenes.",object recognition/detection
,"Torralba, Antonio; Murphy, Kevin P.; Freeman, William T.",2004-10-08T20:43:16Z,2004-10-08T20:43:16Z,2004-06-25,http://hdl.handle.net/1721.1/6740,AIM-2004-013,Contextual models for object detection using boosted random fields,"We seek to both detect and segment objects in images. To exploit both local image data as well as contextual information, we introduce Boosted Random Fields (BRFs), which uses Boosting to learn the graph structure and local evidence of a conditional random field (CRF). The graph structure is learned by assembling graph fragments in an additive model. The connections between individual pixels are not very informative, but by using dense graphs, we can pool information from large regions of the image; dense models also support efficient inference. We show how contextual information from other objects can improve detection performance, both in terms of accuracy and speed, by using a computational cascade. We apply our system to detect stuff and things in office and street scenes.",AIM-2004-013,10 p.; 2184856 bytes; 906515 bytes,application/postscript; application/pdf,en_US,AI; Object detection; context; boosting; BP; random fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,349,"contextual models for object detection using boosted random fields we seek to both detect and segment objects in images. to exploit both local image data as well as contextual information, we introduce boosted random fields (brfs), which uses boosting to learn the graph structure and local evidence of a conditional random field (crf). the graph structure is learned by assembling graph fragments in an additive model. the connections between individual pixels are not very informative, but by using dense graphs, we can pool information from large regions of the image; dense models also support efficient inference. we show how contextual information from other objects can improve detection performance, both in terms of accuracy and speed, by using a computational cascade. we apply our system to detect stuff and things in office and street scenes.",object recognition/detection
,"Indyk, Piotr; Woodruff, David",2004-10-08T20:43:17Z,2004-10-08T20:43:17Z,2004-07-02,http://hdl.handle.net/1721.1/6741,AIM-2004-014,Optimal Approximations of the Frequency Moments,"We give a one-pass, O~(m^{1-2/k})-space algorithm for estimating the k-th frequency moment of a data stream for any real k>2. Together with known lower bounds, this resolves the main problem left open by Alon, Matias, Szegedy, STOC'96. Our algorithm enables deletions as well as insertions of stream elements.",AIM-2004-014,18 p.; 3705201 bytes; 761567 bytes,application/postscript; application/pdf,en_US,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,351,"optimal approximations of the frequency moments we give a one-pass, o~(m^{1-2/k})-space algorithm for estimating the k-th frequency moment of a data stream for any real k>2. together with known lower bounds, this resolves the main problem left open by alon, matias, szegedy, stoc'96. our algorithm enables deletions as well as insertions of stream elements.",high performance computing
,"Indyk, Piotr; Woodruff, David",2005-12-22T01:35:22Z,2005-12-22T01:35:22Z,2004-07-02,http://hdl.handle.net/1721.1/30483,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Optimal Approximations of the Frequency Moments,"We give a one-pass, O~(m^{1-2/k})-space algorithm for estimating the k-th frequency moment of a data stream for any real k>2. Together with known lower bounds, this resolves the main problem left open by Alon, Matias, Szegedy, STOC'96. Our algorithm enables deletions as well as insertions of stream elements.",MIT-CSAIL-TR-2004-044; AIM-2004-014,18 p.; 18493060 bytes; 833343 bytes,application/postscript; application/pdf,en_US,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,352,"optimal approximations of the frequency moments we give a one-pass, o~(m^{1-2/k})-space algorithm for estimating the k-th frequency moment of a data stream for any real k>2. together with known lower bounds, this resolves the main problem left open by alon, matias, szegedy, stoc'96. our algorithm enables deletions as well as insertions of stream elements.",high performance computing
,"Badoiu, Mihai; Indyk, Piotr; Sidiropoulos, Anastasios",2005-12-22T01:35:27Z,2005-12-22T01:35:27Z,2004-07-05,http://hdl.handle.net/1721.1/30484,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,A Constant-Factor Approximation Algorithm for Embedding Unweighted Graphs into Trees,"We present a constant-factor approximation algorithm for computing anembedding of the shortest path metric of an unweighted graph into atree, that minimizes the multiplicative distortion.",MIT-CSAIL-TR-2004-045; AIM-2004-015,8 p.; 6685848 bytes; 331083 bytes,application/postscript; application/pdf,en_US,AI; embeddings; approximation algorithms; trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,353,"a constant-factor approximation algorithm for embedding unweighted graphs into trees we present a constant-factor approximation algorithm for computing anembedding of the shortest path metric of an unweighted graph into atree, that minimizes the multiplicative distortion.",high performance computing
,"Badoiu, Mihai; Indyk, Piotr; Sidiropoulos, Anastasios",2004-10-08T20:43:19Z,2004-10-08T20:43:19Z,2004-07-05,http://hdl.handle.net/1721.1/6742,AIM-2004-015,A Constant-Factor Approximation Algorithm for Embedding Unweighted Graphs into Trees,"We present a constant-factor approximation algorithm for computing an embedding of the shortest path metric of an unweighted graph into a tree, that minimizes the multiplicative distortion.",AIM-2004-015,8 p.; 981451 bytes; 626039 bytes,application/postscript; application/pdf,en_US,AI; embeddings; approximation algorithms; trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,354,"a constant-factor approximation algorithm for embedding unweighted graphs into trees we present a constant-factor approximation algorithm for computing an embedding of the shortest path metric of an unweighted graph into a tree, that minimizes the multiplicative distortion.",high performance computing
,"Kemp, Charles; Griffiths, Thomas L.; Tenenbaum, Joshua B.",2005-12-22T01:36:09Z,2005-12-22T01:36:09Z,2004-07-22,http://hdl.handle.net/1721.1/30489,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Discovering Latent Classes in Relational Data,"We present a framework for learning abstract relational knowledge with the aimof explaining how people acquire intuitive theories of physical, biological, orsocial systems.  Our approach is based on a generative relational model withlatent classes, and simultaneously determines the kinds of entities that existin a domain, the number of these latent classes, and the relations betweenclasses that are possible or likely.  This model goes beyond previouspsychological models of category learning,  which consider attributesassociated with individual categories but not relationships between categories.We apply this domain-general framework to two specific problems: learning thestructure of kinship systems and learning causal theories.",MIT-CSAIL-TR-2004-050; AIM-2004-019,12 p.; 13382538 bytes; 572002 bytes,application/postscript; application/pdf,en_US,AI; learning; categorization; relations; kinship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,359,"discovering latent classes in relational data we present a framework for learning abstract relational knowledge with the aimof explaining how people acquire intuitive theories of physical, biological, orsocial systems.  our approach is based on a generative relational model withlatent classes, and simultaneously determines the kinds of entities that existin a domain, the number of these latent classes, and the relations betweenclasses that are possible or likely.  this model goes beyond previouspsychological models of category learning,  which consider attributesassociated with individual categories but not relationships between categories.we apply this domain-general framework to two specific problems: learning thestructure of kinship systems and learning causal theories.",high performance computing
,"Uzuner, Ozlem",2005-12-22T01:36:15Z,2005-12-22T01:36:15Z,2004-07-25,http://hdl.handle.net/1721.1/30490,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Distribution Volume Tracking on Privacy-Enhanced Wireless Grid,"In this paper, we discuss a wireless grid in which users are highly mobile, and form ad-hoc and sometimes short-lived connections with other devices.  As they roam through networks, the users may choose to employ privacy-enhancing technologies to address their privacy needs and benefit from the computational power of the grid for a variety of tasks, including sharing content.  The high rate of mobility of the users on the wireless grid, when combined with privacy enhancing mechanisms and ad-hoc connections, makes it difficult to conclusively link devices and/or individuals with network activities and to hold them liable for particular downloads.  Protecting intellectual property in this scenario requires a solution that can work in absence of knowledge about behavior of particular individuals.  Building on previous work, we argue for a solution that ensures proper compensation to content owners without inhibiting use and dissemination of works.  Our proposal is based on digital tracking for measuring distribution volume of content and compensation of authors based on this accounting information.  The emphasis is on obtaining good estimates of rate of popularity of works, without keeping track of activities of individuals or devices.  The contribution of this paper is a revenue protection mechanism, Distribution Volume Tracking, that does not invade the privacy of users in the wireless grid and works even in the presence of privacy-enhancing technologies they may employ.",MIT-CSAIL-TR-2004-051; AIM-2004-018,7 p.; 11942167 bytes; 409314 bytes,application/postscript; application/pdf,en_US,AI; Intellectual Property Protection; Privacy; Wireless Computational Grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,360,"distribution volume tracking on privacy-enhanced wireless grid in this paper, we discuss a wireless grid in which users are highly mobile, and form ad-hoc and sometimes short-lived connections with other devices.  as they roam through networks, the users may choose to employ privacy-enhancing technologies to address their privacy needs and benefit from the computational power of the grid for a variety of tasks, including sharing content.  the high rate of mobility of the users on the wireless grid, when combined with privacy enhancing mechanisms and ad-hoc connections, makes it difficult to conclusively link devices and/or individuals with network activities and to hold them liable for particular downloads.  protecting intellectual property in this scenario requires a solution that can work in absence of knowledge about behavior of particular individuals.  building on previous work, we argue for a solution that ensures proper compensation to content owners without inhibiting use and dissemination of works.  our proposal is based on digital tracking for measuring distribution volume of content and compensation of authors based on this accounting information.  the emphasis is on obtaining good estimates of rate of popularity of works, without keeping track of activities of individuals or devices.  the contribution of this paper is a revenue protection mechanism, distribution volume tracking, that does not invade the privacy of users in the wireless grid and works even in the presence of privacy-enhancing technologies they may employ.",privacy/ethics
