dc.contributor.advisor,dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.relation.ispartofseries,dc.title,dc.description.abstract,dc.identifier.other,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.subject,dc.contributor.other,dc.description.sponsorship,dc.rights,dc.rights.uri,dc.description,dc.identifier.citation,dc.contributor,dc.relation.isversionof,dc.description.degree,dc.relation.isreplacedby,dc.relation.uri,dc.relation.replaces,dc.relation,dc.date.updated,dc.identifier,dc.relation.isreferencedby,dc.contributor.department,dc.type,dspace.orderedauthors,dc.date.submitted,dc.contributor.editor,dc.coverage.spatial,dc.coverage.temporal,eprint.grantNumber,dc.relation.requires,dc.language.rfc3066,dc.publisher,dc.relation.haspart,dc.identifier.oclc
,"Taycher, Leonid; Darrell, Trevor",2004-10-08T20:36:35Z,2004-10-08T20:36:35Z,2001-09-01,http://hdl.handle.net/1721.1/6658,AIM-2001-024,Range Segmentation Using Visibility Constraints,"Visibility constraints can aid the segmentation of foreground objects observed with multiple range images. In our approach, points are defined as foreground if they can be determined to occlude some {em empty space} in the scene. We present an efficient algorithm to estimate foreground points in each range view using explicit epipolar search. In cases where the background pattern is stationary, we show how visibility constraints from other views can generate virtual background values at points with no valid depth in the primary view. We demonstrate the performance of both algorithms for detecting people in indoor office environments.",AIM-2001-024,10 p.; 15686301 bytes; 1574798 bytes,application/postscript; application/pdf,en_US,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Arkoudas, Konstantine",2004-10-08T20:36:40Z,2004-10-08T20:36:40Z,2001-10-05,http://hdl.handle.net/1721.1/6661,AIM-2001-025,Type-alpha DPLs,"This paper introduces Denotational Proof Languages (DPLs). DPLs are languages for presenting, discovering, and checking formal proofs. In particular, in this paper we discus type-alpha DPLs---a simple class of DPLs  for which termination is guaranteed and proof checking can be  performed in time linear in the size of the proof.  Type-alpha DPLs allow for lucid proof presentation and for efficient proof checking, but not for proof search.  Type-omega DPLs allow for search as well as simple presentation and checking, but termination is no longer guaranteed and  proof checking may diverge. We do not study type-omega DPLs here.   We start by listing some common characteristics of DPLs. We  then illustrate with a particularly simple example: a toy  type-alpha DPL called PAR, for deducing parities. We present the abstract syntax of PAR, followed by two  different kinds of formal semantics: evaluation and denotational.  We then relate the two semantics and show how proof checking  becomes tantamount to evaluation. We proceed to develop the  proof theory of PAR, formulating and studying certain  key notions such as observational equivalence that pervade all DPLs.   We then present NDL, a type-alpha DPL for classical zero-order  natural deduction. Our presentation of NDL mirrors that of PAR,  showing how every basic concept that was introduced in PAR resurfaces in NDL. We present sample proofs of several well-known tautologies of propositional logic that demonstrate our thesis that DPL proofs are  readable, writable, and concise. Next we contrast DPLs to typed logics based  on the Curry-Howard isomorphism, and discuss the distinction between pure and augmented DPLs. Finally we consider the issue of  implementing DPLs, presenting an implementation of PAR in SML and one in Athena, and end with some concluding remarks.",AIM-2001-025,27 p.; 1766438 bytes; 815435 bytes,application/postscript; application/pdf,en_US,AI; Deduction; formal proofs; semantics; proof checking; soundness; logic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Arkoudas, Konstantine",2004-10-08T20:36:42Z,2004-10-08T20:36:42Z,2001-10-16,http://hdl.handle.net/1721.1/6662,AIM-2001-027,Type-omega DPLs,"Type-omega DPLs (Denotational Proof Languages) are languages for proof presentation and search that offer strong soundness guarantees. LCF-type systems such as HOL offer similar guarantees, but their soundness relies heavily on static type systems. By contrast, DPLs  ensure soundness dynamically, through their evaluation semantics; no type system is necessary. This is possible owing to a novel two-tier syntax  that separates deductions from computations, and to the abstraction of assumption bases, which is factored into the semantics of the language and allows for sound evaluation.   Every type-omega DPL properly contains a type-alpha DPL, which can be used to present proofs in a lucid and detailed form, exclusively in terms of primitive inference rules. Derived inference rules are expressed  as user-defined methods, which are ""proof recipes"" that take arguments  and dynamically perform appropriate deductions. Methods arise naturally  via parametric abstraction over type-alpha proofs. In that light, the  evaluation of a method call can be viewed as a computation that carries  out a type-alpha deduction. The type-alpha proof ""unwound"" by such a method  call is called the ""certificate"" of the call. Certificates can be checked  by exceptionally simple type-alpha interpreters, and thus they are useful  whenever we wish to minimize our trusted base.   Methods are statically closed over lexical environments, but dynamically scoped over assumption bases. They can take other methods as arguments, they can iterate, and they can branch conditionally. These capabilities,  in tandem with the bifurcated syntax of type-omega DPLs and their dynamic assumption-base semantics, allow the user to define methods in  a style that is disciplined enough to ensure soundness yet fluid enough  to permit succinct and perspicuous expression of arbitrarily sophisticated derived inference rules.   We demonstrate every major feature of type-omega DPLs by defining and studying NDL-omega, a higher-order, lexically scoped, call-by-value type-omega DPL for classical zero-order natural deduction---a simple choice that allows us to focus on type-omega syntax and semantics rather than on the subtleties of the underlying logic. We start by illustrating how type-alpha DPLs naturally lead to type-omega DPLs by way of abstraction; present the formal syntax and semantics of NDL-omega; prove several results about it, including soundness; give numerous examples of methods; point out connections to the lambda-phi calculus, a very general framework for type-omega DPLs; introduce a notion of computational and deductive cost; define several instrumented interpreters for computing such costs and for generating certificates; explore the use of type-omega DPLs as general programming languages; show that DPLs do not have to be type-less by formulating a static Hindley-Milner polymorphic type system for NDL-omega; discuss some idiosyncrasies of type-omega DPLs such as the potential divergence of proof checking; and compare type-omega DPLs to other approaches to proof presentation and discovery. Finally, a complete implementation of NDL-omega in SML-NJ is given for users who want to run the examples and experiment with the language.",AIM-2001-027,62 p.; 3794425 bytes; 787916 bytes,application/postscript; application/pdf,en_US,AI; deduction; computation; proof search; soundness; logic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Rennie, Jason D. M.; Rifkin, Ryan",2004-10-20T21:03:52Z,2004-10-20T21:03:52Z,2001-10-16,http://hdl.handle.net/1721.1/7241,AIM-2001-026; CBCL-210,Improving Multiclass Text Classification with the Support Vector Machine,"We compare Naive Bayes and Support Vector Machines on the task of multiclass text classification. Using a variety of approaches to combine the underlying binary classifiers, we find that SVMs substantially outperform Naive Bayes. We present full multiclass results on two well-known text data sets, including the lowest error to date on both data sets. We develop a new indicator of binary performance to show that the SVM's lower multiclass error is a result of its improved binary performance. Furthermore, we demonstrate and explore the surprising result that one-vs-all classification performs favorably compared to other approaches even though it has no error-correcting properties.",AIM-2001-026; CBCL-210,14 p.; 1240992 bytes; 1091543 bytes,application/postscript; application/pdf,en_US,AI; text classification; support vector machine; multiclass classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fleming, Roland W.; Dror, Ron O.; Adelson, Edward H.",2004-10-08T20:36:44Z,2004-10-08T20:36:44Z,2001-10-21,http://hdl.handle.net/1721.1/6663,AIM-2001-032,How do Humans Determine Reflectance Properties under Unknown Illumination?,"Under normal viewing conditions, humans find it easy to distinguish between objects made out of different materials such as plastic, metal, or paper. Untextured materials such as these have different surface reflectance properties, including lightness and gloss. With single isolated images and unknown illumination conditions, the task of estimating surface reflectance is highly underconstrained, because many combinations of reflection and illumination are consistent with a given image. In order to work out how humans estimate surface reflectance properties, we asked subjects to match the appearance of isolated spheres taken out of their original contexts. We found that subjects were able to perform the task accurately and reliably without contextual information to specify the illumination. The spheres were rendered under a variety of artificial illuminations, such as a single point light source, and a number of photographically-captured real-world illuminations from both indoor and outdoor scenes. Subjects performed more accurately for stimuli viewed under real-world patterns of illumination than under artificial illuminations, suggesting that subjects use stored assumptions about the regularities of real-world illuminations to solve the ill-posed problem.",AIM-2001-032,9 p.; 7609556 bytes; 945959 bytes,application/postscript; application/pdf,en_US,AI; illumination; reflectance; natural image statistics; human vision; BRDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dror, Ron O.; Edward H. Adelson,; Willsky, Alan S.",2004-10-08T20:36:53Z,2004-10-08T20:36:53Z,2001-10-21,http://hdl.handle.net/1721.1/6664,AIM-2001-033,Recognition of Surface Reflectance Properties from a Single Image under Unknown Real-World Illumination,"This paper describes a machine vision system that classifies reflectance properties of surfaces such as metal, plastic, or paper, under unknown real-world illumination. We demonstrate performance of our algorithm for surfaces of arbitrary geometry. Reflectance estimation under arbitrary omnidirectional illumination proves highly underconstrained. Our reflectance estimation algorithm succeeds by learning relationships between surface reflectance and certain statistics computed from an observed image, which depend on statistical regularities in the spatial structure of real-world illumination. Although the algorithm assumes known geometry, its statistical nature makes it robust to inaccurate geometry estimates.",AIM-2001-033,9 p.; 5961528 bytes; 831200 bytes,application/postscript; application/pdf,en_US,AI; illumination; reflectance; computer vision; geometry; natural image statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Larsen, Samuel; Witchel, Emmett; Amarasinghe, Saman",2023-03-29T14:42:27Z,2023-03-29T14:42:27Z,2001-11,https://hdl.handle.net/1721.1/149310,MIT-LCS-TM-621,Techniques for Increasing and Detecting Memory Alignment,"Memory alignment is an important property in memory system performance. Extraction of alignment information at compile-time enables the possibility for new classes of program optimization. In this paper, we present methods for increasing and detecting the alignment of memory references in a program. Our transformations and analyses do not require interprocedural analysis and introduce almost no overhead. As a result, they can be incorporated into real compilation systems. On average, our techniques are able to achieve a five-fold increase in the number of dynamically aligned memory references. We are then able to detect 94% of these operations. This success is invaluable in providing performance gains in a range of different areas. When alignment information is incorporated into a vectorizing compiler, we can increase the performance of a G4 AltiVec processor by more than a factor of two. Using the same methods, we are able to reduce energy consumption in a data cache by as much as 35%.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ostrovsky, Yuri; Cavanagh, Patrick; Sinha, Pawan",2004-10-20T21:03:57Z,2004-10-20T21:03:57Z,2001-11-05,http://hdl.handle.net/1721.1/7243,AIM-2001-029; CBCL-209,Perceiving Illumination Inconsistencies in Scenes,"The human visual system is adept at detecting and encoding statistical regularities in its spatio-temporal environment. Here we report an unexpected failure of this ability in the context of perceiving inconsistencies in illumination distributions across a scene. Contrary to predictions from previous studies [Enns and Rensink, 1990; Sun and Perona, 1996a, 1996b, 1997], we find that the visual system displays a remarkable lack of sensitivity to illumination inconsistencies, both in experimental stimuli and in images of real scenes. Our results allow us to draw inferences regarding how the visual system encodes illumination distributions across scenes. Specifically, they suggest that the visual system does not verify the global consistency of locally derived estimates of illumination direction.",AIM-2001-029; CBCL-209,13 p.; 3418249 bytes; 947913 bytes,application/postscript; application/pdf,en_US,AI; Illumination; natural scene perception; lighting direction; pop-out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Torralba, Antonio; Sinha, Pawan",2004-10-20T21:03:55Z,2004-10-20T21:03:55Z,2001-11-05,http://hdl.handle.net/1721.1/7242,AIM-2001-028; CBCL-208,Detecting Faces in Impoverished Images,"The ability to detect faces in images is of critical ecological significance. It is a pre-requisite for other important face perception tasks such as person identification, gender classification and affect analysis. Here we address the question of how the visual system classifies images into face and non-face patterns. We focus on face detection in impoverished images, which allow us to explore information thresholds required for different levels of performance. Our experimental results provide lower bounds on image resolution needed for reliable discrimination between face and non-face patterns and help characterize the nature of facial representations used by the visual system under degraded viewing conditions. Specifically, they enable an evaluation of the contribution of luminance contrast, image orientation and local context on face-detection performance.",AIM-2001-028; CBCL-208,14 p.; 20987363 bytes; 1810477 bytes,application/postscript; application/pdf,en_US,AI; Face detection; image resolution; contrast negation; vertical inversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Corduneanu, Adrian; Jaakkola, Tommi",2004-10-08T20:37:18Z,2004-10-08T20:37:18Z,2001-11-08,http://hdl.handle.net/1721.1/6679,AIM-2001-030,Stable Mixing of Complete and Incomplete Information,"An increasing number of parameter estimation tasks involve the use of at least two information sources, one complete but limited, the other abundant but incomplete. Standard algorithms such as EM (or em) used in this context are unfortunately not stable in the sense that they can lead to a dramatic loss of accuracy with the inclusion of incomplete observations. We provide a more controlled solution to this problem through differential equations that govern the evolution of locally optimal solutions (fixed points) as a function of the source weighting. This approach permits us to explicitly identify any critical (bifurcation) points leading to choices unsupported by the available complete data. The approach readily applies to any graphical model in O(n^3) time where n is the number of parameters. We use the naive Bayes model to illustrate these ideas and demonstrate the effectiveness of our approach in the context of text classification problems.",AIM-2001-030,9 p.; 1207127 bytes; 733599 bytes,application/postscript; application/pdf,en_US,AI; semi-supervised learning; incomplete data; EM; stable estimation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Arkoudas, Konstantine",2004-10-08T20:37:19Z,2004-10-08T20:37:19Z,2001-11-13,http://hdl.handle.net/1721.1/6680,AIM-2001-031,Simplifying transformations for type-alpha certificates,"This paper presents an algorithm for simplifying NDL deductions. An array of simplifying transformations are rigorously defined. They are shown to be terminating, and to respect the formal semantis of the language. We also show that the transformations never increase the size or complexity of a deduction---in the worst case, they produce deductions of the same size and complexity as the original. We present several examples of proofs containing various types of ""detours"", and explain how our procedure eliminates them, resulting in smaller and cleaner deductions. All of the given transformations are fully implemented in SML-NJ. The complete code listing is presented, along with explanatory comments. Finally, although the transformations given here are defined for NDL, we point out that they can be applied to any type-alpha DPL that satisfies a few simple conditions.",AIM-2001-031,45 p.; 2306816 bytes; 532283 bytes,application/postscript; application/pdf,en_US,AI; deduction; proofs; simplifiation; proof optimization; deduction complexity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wang, Karen",2023-03-29T15:34:42Z,2023-03-29T15:34:42Z,2001-12,https://hdl.handle.net/1721.1/149932,MIT-LCS-TR-829,2RegionRED: a Congestion Control Mechanism for the High Speed Internet,This thesis proposes a new Active Queue Management (AQM) scheme called 2RegionRED.  It is superior to the classic Random Early Detection (RED) algorithm in that there is an intuitive way to set its parameters and it is self-tuning.  Its design is motivated by an original principle to sustain the smallest queue possible while still allowing for maximum link utilization.  2RegionRED uses the number of competing TCPs as its measure of load.  However it does not keep an explicit count.  The result is a novel algorithm that adjusts the drop rate according to two regions of operation: that requiring less than and greater than one drop per round-trip time (RTT).  This thesis also analyzes methods for measuring the persistent queue and proposes the ABSMIN method.  Simulations of 2RegionRED using ABSMIN reveal some difficulties and insights.  Basic comparisons to the Adaptive RED and Flow Proportional Queuing (FPQ) adaptive algorithms are also demonstrated through simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Katabi, Dina; Blake, Charles",2023-03-29T15:34:40Z,2023-03-29T15:34:40Z,2001-12,https://hdl.handle.net/1721.1/149931,MIT-LCS-TR-828,Inferring Congestion Sharing and Path Characteristics from Packet Interarrival Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Torralba, Antonio; Oliva, Aude",2004-10-20T21:04:45Z,2004-10-20T21:04:45Z,2001-12-01,http://hdl.handle.net/1721.1/7267,AIM-2001-036; CBCL-213,Global Depth Perception from Familiar Scene Structure,"In the absence of cues for absolute depth measurements as binocular disparity, motion, or defocus, the absolute distance between the observer and a scene cannot be measured. The interpretation of shading, edges and junctions may provide a 3D model of the scene but it will not inform about the actual ""size"" of the space. One possible source of information for absolute depth estimation is the image size of known objects. However, this is computationally complex due to the difficulty of the object recognition process. Here we propose a source of information for absolute depth estimation that does not rely on specific objects: we introduce a procedure for absolute depth estimation based on the recognition of the whole scene. The shape of the space of the scene and the structures present in the scene are strongly related to the scale of observation. We demonstrate that, by recognizing the properties of the structures present in the image, we can infer the scale of the scene, and therefore its absolute mean depth. We illustrate the interest in computing the mean depth of the scene with application to scene recognition and object detection.",AIM-2001-036; CBCL-213,22 p.; 40226611 bytes; 7425856 bytes,application/postscript; application/pdf,en_US,AI; depth; monocular; scale selection; natural images; scene recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Riesenhuber, Maximilian",2004-10-20T21:04:38Z,2004-10-20T21:04:38Z,2001-12-10,http://hdl.handle.net/1721.1/7265,AIM-2001-034; CBCL-211,"Generalization over contrast and mirror reversal, but not figure-ground reversal, in an ""edge-based","Baylis & Driver (Nature Neuroscience, 2001) have recently presented data on the response of neurons in macaque inferotemporal cortex (IT) to various stimulus transformations. They report that neurons can generalize over contrast and mirror reversal, but not over figure-ground reversal. This finding is taken to demonstrate that ``the selectivity of IT neurons is not determined simply by the distinctive contours in a display, contrary to simple edge-based models of shape recognition'', citing our recently presented model of object recognition in cortex (Riesenhuber & Poggio, Nature Neuroscience, 1999). In this memo, I show that the main effects of the experiment can be obtained by performing the appropriate simulations in our simple feedforward model. This suggests for IT cell tuning that the possible contributions of explicit edge assignment processes postulated in (Baylis & Driver, 2001) might be smaller than expected.",AIM-2001-034; CBCL-211,3 p.; 798352 bytes; 91696 bytes,application/postscript; application/pdf,en_US,AI; AI; computational neuroscience; object recognition; macaque; IT; invariance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yip, Andrew; Sinha, Pawan",2004-10-20T21:04:40Z,2004-10-20T21:04:40Z,2001-12-13,http://hdl.handle.net/1721.1/7266,AIM-2001-035; CBCL-212,Role of color in face recognition,"One of the key challenges in face perception lies in determining the contribution of different cues to face identification. In this study, we focus on the role of color cues. Although color appears to be a salient attribute of faces, past research has suggested that it confers little recognition advantage for identifying people. Here we report experimental results suggesting that color cues do play a role in face recognition and their contribution becomes evident when shape cues are degraded. Under such conditions, recognition performance with color images is significantly better than that with grayscale images. Our experimental results also indicate that the contribution of color may lie not so much in providing diagnostic cues to identity as in aiding low-level image-analysis processes such as segmentation.",AIM-2001-035; CBCL-212,12 p.; 1469164 bytes; 237772 bytes,application/postscript; application/pdf,en_US,AI; Face recognition; color; low-resolution; grayscale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Heo, Seongmoo; Barr, Kenneth; Hampton, Mark; Asanovi_, Krste",2023-03-29T15:35:04Z,2023-03-29T15:35:04Z,2002-01,https://hdl.handle.net/1721.1/149935,MIT-LCS-TR-832,Fine-Grain Dynamic Leakage Reduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Heo, Seongmoo; Asanovi_, Krste",2023-03-29T15:35:02Z,2023-03-29T15:35:02Z,2002-01,https://hdl.handle.net/1721.1/149934,MIT-LCS-TR-831,Leakage-Biased Domino Circuits for Dynamic Fine-Grain Leakage Reduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Beal, Jacob",2004-10-20T20:29:08Z,2004-10-20T20:29:08Z,2002-01-01,http://hdl.handle.net/1721.1/7079,AITR-2002-002,Generating Communications Systems Through Shared Context,"In a distributed model of intelligence, peer components need to communicate with one another. I present a system which enables two agents connected by a thick twisted bundle of wires to bootstrap a simple communication system from observations of a shared environment. The agents learn a large vocabulary of symbols, as well as inflections on those symbols which allow thematic role-frames to be transmitted. Language acquisition time is rapid and linear in the number of symbols and inflections. The final communication system is robust and performance degrades gradually in the face of problems.",AITR-2002-002,58 p.; 7876447 bytes; 588901 bytes,application/postscript; application/pdf,en_US,AI; distributed amorphous human intelligence genesis robust communication network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Darrell, Trevor; Checka, Neal; Oh, Alice; Morency, Louis-Philippe",2004-10-08T20:37:23Z,2004-10-08T20:37:23Z,2002-01-01,http://hdl.handle.net/1721.1/6682,AIM-2002-001,Exploring Vision-Based Interfaces: How to Use Your Head in Dual Pointing Tasks,"The utility of vision-based face tracking for dual pointing tasks is evaluated. We first describe a 3-D face tracking technique based on real-time parametric motion-stereo, which is non-invasive, robust, and self-initialized. The tracker provides a real-time estimate of a ?frontal face ray? whose intersection with the display surface plane is used as a second stream of input for scrolling or pointing, in paral-lel with hand input. We evaluated the performance of com-bined head/hand input on a box selection and coloring task: users selected boxes with one pointer and colors with a second pointer, or performed both tasks with a single pointer. We found that performance with head and one hand was intermediate between single hand performance and dual hand performance. Our results are consistent with previously reported dual hand conflict in symmetric pointing tasks, and suggest that a head-based input stream should be used for asymmetric control.",AIM-2002-001,1 p.; 1612360 bytes; 298580 bytes,application/postscript; application/pdf,en_US,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Freeman, William T.; Zhang, Hao",2004-10-08T20:37:26Z,2004-10-08T20:37:26Z,2002-01-10,http://hdl.handle.net/1721.1/6683,AIM-2002-002,Shape-Time Photography,"We introduce a new method to describe, in a single image, changes in  shape over time. We acquire both range and image information with a  stationary stereo camera. From the pictures taken, we display a  composite image consisting of the image data from the  surface closest to the camera at every pixel. This reveals the 3-d  relationships over time by easy-to-interpret occlusion relationships  in the composite image. We call the composite a shape-time  photograph.   Small errors in depth measurements cause artifacts in the shape-time  images. We correct most of these using a Markov network to estimate  the most probable front surface, taking into account the depth  measurements, their uncertainties, and layer continuity assumptions.",AIM-2002-002,6 p.; 6494953 bytes; 11283819 bytes,application/postscript; application/pdf,en_US,AI; video summarization; stereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Zee, Karen; Rinard, Martin",2023-03-29T15:35:09Z,2023-03-29T15:35:09Z,2002-02,https://hdl.handle.net/1721.1/149937,MIT-LCS-TR-834,Write Barrier Removal by Static Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Matusik, Wojciech; Buehler, Chris; McMillan, Leonard; Gortler, Steven J.",2023-03-29T14:42:33Z,2023-03-29T14:42:33Z,2002-02,https://hdl.handle.net/1721.1/149312,MIT-LCS-TM-623,An Efficient Visual Hull Computation Algorithm,"In this paper we describe an efficient algorithm for computing the visual hull of an object. This problem is equivalent to computing the intersection of generalized cones. The naïve visual hull computation algorithm requires intersecting 3D polyhedra. We exploit the special structure of generalized cone polyhedra and show how to reduce this computation to a set of intersections in 2D. Moreover, we describe how the 2D intersections can be carried out efficiently.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Matusik, Wojciech; Buehler, Chris; McMillan, Leonard",2023-03-29T14:42:35Z,2023-03-29T14:42:35Z,2002-02,https://hdl.handle.net/1721.1/149313,MIT-LCS-TM-624,Efficient View-Dependent Sampling of Visual Hulls,"In this paper we present an efficient algorithm for sampling visual hulls. Our algorithm computers exact points and normals on the surface of visual hull instead of a more traditional volumetric representation. The main feature that distinguishes our algorithm from previous ones is that it allows for sampling along arbitrary viewing rays with no loss of efficiency. Using this property, we adaptively sample visual hulls to minimize the number of samples needed to attain a given fidelity. In our experiments, the number of samples can typically be reduced by an order of magnitude, resulting in a corresponding performance increase over previous algorithms.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Kiriansky, Vladimir; Bruening, Derek; Amarasinghe, Saman",2023-03-29T14:42:37Z,2023-03-29T14:42:37Z,2002-02,https://hdl.handle.net/1721.1/149314,MIT-LCS-TM-625,Secure Execution Via Program Shepherding,"We introduce program shepherding, a method for monitoring control flow transfers during program execution to enforce a security policy. Shepherding ensures that malicious code masquerading as data is never executed, thwarting a large class of security attacks. Shepherding can also enforce entry points as the only way to execute shared library code. Furthermore, shepherding guarantees that sandboxing checks around any type of program operation will never be bypassed. We have implemented these capabilities efficiently in a runtime system with minimal or no performance penalties. This system operates on unmodified native binaries, requires no special hardware or operating system support, and runs on existing IA-32 machines.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Katabi, Dina; Blake, Charles",2023-03-29T14:42:39Z,2023-03-29T14:42:39Z,2002-02,https://hdl.handle.net/1721.1/149315,MIT-LCS-TM-626,A Note on the Stability Requirements of Adaptive Virtual Queue,Choosing the correct value for the parameters of an Active Queue Management (AQM) scheme is a well-known hard problem. The Adaptive Virtual Queue (AVQ) attempts at solving this problem by using stability requirements to devise a rule for setting its parameter. This memo shows that the AVQ rule for setting its parameter is impractical for many real-life situations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Lynch, Nancy A.; Segala, Roberto; Vaandrager, Frits",2023-03-30T15:32:47Z,2023-03-29T15:34:34Z; 2023-03-30T15:32:47Z,2002-02,https://hdl.handle.net/1721.1/149930.2,MIT-LCS-TR-827b,Hybrid I/O Automata*,"Hybrid systems are systems that exhibit a combination of discrete and continuous behavior. Typical hybrid systems include computer components, which operate in discrete program steps, and real-world components, whose behavior over time intervals evolves according to physical constraints. Important examples of hybrid systems include automated transportation systems, robotics systems, process control systems, systems of embedded devices, and mobile computing systems. Such systems can be very complex, and very difficult to describe and analyze. This paper presents the Hybrid Input/Output Automaton (HIOA) modeling framework, a basic mathematical framework to support description and analysis of hybrid systems. An important feature of this model is its support for decomposing hybrid system descriptions. In particular, the framework includes a notion of external behavior for a hybrid I/O automaton, which captures its discrete and continuous interactions with its environment. The framework also defines what it means for one HIOA to implement another, based on an inclusion relationship between their external behavior sets, and defines a notion of simulation, which provides a sufficient condition for demonstrating implementation relationships. The framework also includes a composition operation for HIOAs, which respects external behavior, and a notion of receptiveness, which implies that an HIOA does not block the passage of time. The framework is intended to support analysis methods from both computer science and control theory. This work is a simplification of an earlier version of the HIOA model [49, 50]. The main simplification in the new model is a clearer separation between the mechanisms used to model discrete and continuous interaction between components. In particular, the new model removes the dual use of external variables for discrete and continuous interaction.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thies, William F.; Karczmarek, Michael; Gordon, Michael; Maze, David; Wong, Jeremy; Hoffmann, Henry; Brown, Matthew; Amarasinghe, Saman",2023-03-29T14:42:29Z,2023-03-29T14:42:29Z,2002-02,https://hdl.handle.net/1721.1/149311,MIT-LCS-TM-622,StreamIT: A Complier for Streaming Applications,"Streaming programs represent an increasingly important and widespread class of applications that holds unprecedented opportunitie sfor high-impact compiler technology. Unlike sequential programs with obscured dependence information and complex communication patterns, a stream program is naturally written as a set of concurrent filters with regular steady-state communication. The StreamIt language aims to provide a natural, high-level syntax that improves programmer productivity in the streaming domain. At the same time, the language imposes a hierarchical structure on the stream graph that enables novel representations and optimizations within the StreamIt compiler. We define the ""stream dependence function,"" a fundamental relationship between the input channels of two filters in a stream graph. We also describe a suite of stream optimizations, a denotational semantics for validating these optimizations, and a novel phased scheduling algorithm for stream graphs. In addition, we have implemented a prototype of the StreamIt optimizing compiler that is showing promising results.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"DeCouto, Douglas S.J.; Aguayo, Daniel; Chambers, Benjamin A.; Morris, Robert",2023-03-29T15:35:12Z,2023-03-29T15:35:12Z,2002-03,https://hdl.handle.net/1721.1/149938,MIT-LCS-TR-836,Effects of Loss Rate on Ad Hoc Wireless Routing,"This paper uses measurements from two deployed wireless ad hoc networks to illustrate the effects of link loss rates on routing protocol performance. Measurements of these networks show that the radio links between the majority of nodes have substantial loss rates. These loss rates are high enough to prevent existing ad hoc routing protocols from using the links. Link-level retransmission can mask high loss rates, at the cost of substantial decreases in throughput. Simulations, driven by the observed loss rates, show that the shortest paths chosen by existing routing protocols tend to find routes with much less capacity than is available along the best route. Based on these observations, we present a routing metric intended to allow routing protocols to find good routes in wireless ad hoc networks. The metric is the expected total number of transmissions required to deliver a packet along a route. This metric favors routes with high throughput and low total impact on spectrum. It is expected to perform better than existing techniques that eliminate links based on loss rate thresholds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Boyapati, Chandrasekhar; Lee, Robert; Rinard, Martin",2023-03-29T15:35:19Z,2023-03-29T15:35:19Z,2002-03,https://hdl.handle.net/1721.1/149941,MIT-LCS-TR-839,A Type System for Preventing Data Races and Deadlocks in Java Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
