dc.contributor.advisor,dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.relation.ispartofseries,dc.title,dc.description.abstract,dc.identifier.other,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.subject,dc.contributor.other,dc.description.sponsorship,dc.rights,dc.rights.uri,dc.description,dc.identifier.citation,dc.contributor,dc.relation.isversionof,dc.description.degree,dc.relation.isreplacedby,dc.relation.uri,dc.relation.replaces,dc.relation,dc.date.updated,dc.identifier,dc.relation.isreferencedby,dc.contributor.department,dc.type,dspace.orderedauthors,dc.date.submitted,dc.contributor.editor,dc.coverage.spatial,dc.coverage.temporal,eprint.grantNumber,dc.relation.requires,dc.language.rfc3066,dc.publisher,dc.relation.haspart,dc.identifier.oclc,year,research_paper_id
,"Liskov, Barbara H.; Moh, Chuang-Hue; Richman, Steven; Shrira, Liuba; Chueng, Yin; Boyapati, Chandrasekhar",2023-03-29T15:35:50Z,2023-03-29T15:35:50Z,2002-06,https://hdl.handle.net/1721.1/149953,MIT-LCS-TR-851,Safe Lazy Software Upgrades in Object-Oriented Databases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,132
,"Hajiaghayi, Mohammad Taghi; Mahdian, Mohammad; Mirrokni, Vahab S.",2023-03-29T15:36:07Z,2023-03-29T15:36:07Z,2002-09,https://hdl.handle.net/1721.1/149960,MIT-LCS-TR-864,The Facility Location Problem with Concave Cost Functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,153
,"III, Teodoro Arvizo",2004-10-20T20:29:40Z,2004-10-20T20:29:40Z,2002-06-01,http://hdl.handle.net/1721.1/7092,AITR-2002-004,A Virtual Machine for a Type-omega Denotational Proof Language,"In this thesis, I designed and implemented a  virtual machine (VM) for a monomorphic  variant of Athena, a type-omega denotational  proof language (DPL). This machine  attempts to maintain the minimum state required to evaluate Athena phrases. This  thesis also includes the design and  implementation of a compiler for  monomorphic Athena that compiles to the VM.  Finally, it includes details on my  implementation of a read-eval-print loop that  glues together the VM core and the compiler  to provide a full, user-accessible  interface to monomorphic Athena. The Athena  VM provides the same basis for DPLs that the  SECD machine does for pure, functional  programming and the Warren Abstract Machine does for Prolog.",AITR-2002-004,106 p.; 2935187 bytes; 816842 bytes,application/postscript; application/pdf,en_US,AI; virtual machine; SECD; SECD machine; denotational proof language; Athena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,140
,"Beal, Jacob",2004-10-20T20:29:08Z,2004-10-20T20:29:08Z,2002-01-01,http://hdl.handle.net/1721.1/7079,AITR-2002-002,Generating Communications Systems Through Shared Context,"In a distributed model of intelligence, peer components need to communicate with one another. I present a system which enables two agents connected by a thick twisted bundle of wires to bootstrap a simple communication system from observations of a shared environment. The agents learn a large vocabulary of symbols, as well as inflections on those symbols which allow thematic role-frames to be transmitted. Language acquisition time is rapid and linear in the number of symbols and inflections. The final communication system is robust and performance degrades gradually in the face of problems.",AITR-2002-002,58 p.; 7876447 bytes; 588901 bytes,application/postscript; application/pdf,en_US,AI; distributed amorphous human intelligence genesis robust communication network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,103
,"Gassend, Blaise; Clarke, Dwaine; van Dijk, Marten; Devadas, Srinivas",2023-03-29T15:35:57Z,2023-03-29T15:35:57Z,2002-06,https://hdl.handle.net/1721.1/149956,MIT-LCS-TR-854,Delay-Based Circuit Authentication With Application to Key Cards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,134
,"Gassend, Blaise; Clarke, Dwaine; van Dijk, Marten; Devadas, Srinivas",2023-03-29T15:35:36Z,2023-03-29T15:35:36Z,2002-06,https://hdl.handle.net/1721.1/149947,MIT-LCS-TR-845,Controlled Physical Unknown Functions: Applications to Secure Smartcards and Certified Execution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,135
,"Aftab, Omar",2023-03-29T15:36:38Z,2023-03-29T15:36:38Z,2002-08,https://hdl.handle.net/1721.1/149972,MIT-LCS-TR-876b,Economic Mechanisms for Efficient Wireless Coexistence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,148
,"Chen, Benjie; Morris, Robert T.",2023-03-29T15:35:15Z,2023-03-29T15:35:15Z,2002-03,https://hdl.handle.net/1721.1/149939,MIT-LCS-TR-837,L+: Scalable Landmark Routing and Address Lookup for Multi-hop Wireless Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,116
,"Felzenszwalb, Pedro F.",2005-12-19T22:44:55Z,2005-12-19T22:44:55Z,2003-08-08,http://hdl.handle.net/1721.1/30400,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Representation and Detection of Shapes in Images,"We present a set of techniques that can be used to represent anddetect shapes in images.  Our methods revolve around a particularshape representation based on the description of objects usingtriangulated polygons.  This representation is similar to the medialaxis transform and has important properties from a computationalperspective.  The first problem we consider is the detection ofnon-rigid objects in images using deformable models.  We present anefficient algorithm to solve this problem in a wide range ofsituations, and show examples in both natural and medical images.  Wealso consider the problem of learning an accurate non-rigid shapemodel for a class of objects from examples.  We show how to learn goodmodels while constraining them to the form required by the detectionalgorithm.  Finally, we consider the problem of low-level imagesegmentation and grouping.  We describe a stochastic grammar thatgenerates arbitrary triangulated polygons while capturing Gestaltprinciples of shape regularity.  This grammar is used as a prior modelover random shapes in a low level algorithm that detects objects inimages.",MIT-CSAIL-TR-2003-008; AITR-2003-016,80 p.; 38103057 bytes; 1889641 bytes,application/postscript; application/pdf,en_US,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,250
,"Clarke, Dwaine; Devadas, Srinivas; van Dijk, Marten; Gassend, Blaise; Suh, G. Edward",2023-03-29T15:37:19Z,2023-03-29T15:37:19Z,2003-05,https://hdl.handle.net/1721.1/149987,MIT-LCS-TR-899,Incremental Multiset Hash Functions and their Application to Memory Integrity Checking,"We introduce a new cryptographic tool: multiset hash functions. Unlike standard hash functions which take strings as input, multiset hash functions operate on multisets (or sets). They map multisets of arbitrary finite size to strings (hashes) of fixed length. They are incremental in that, when new members are added to the multiset, the hash can be updated in time proportional to the change. The functions may be multiset-collision resistant in that it is diÔøΩcult to find two multisets which produce the same hash, or just set-collision resistant in that it is diÔøΩcult to find a set and a multiset which produce the same hash. In particular, we introduce four multiset hash functions, each with its own advantages. MSet-XOR-Hash uses the XOR operation and is very eÔøΩcient; however, it uses a secret key and is only set-collision resistant. MSet-Add-Hash uses addition modulo a large integer and, thus, is slightly less eÔøΩcient than MSet-XOR-Hash; MSet-Add-Hash also uses a secret key but it is multiset-collision resistant. MSet-Mu-Hash uses finite field arithmetic and is not as eÔøΩcient as the other two hash functions; however, MSet-Mu-Hash is multiset-collision resistant, and unlike the other two hash functions, does not require a secret key. MSet-VAdd-Hash is more eÔøΩcient than MSet-Mu-Hash; it is also multiset-collision resistant, and does not use a secret key, but the hashes it produces are significantly longer than the hashes of the other functions. The proven security of MSet-XOR-Hash and MSet-Add-Hash is quantitative. We reduce the hardness of finding collisions to the hardness of breaking the underlying pseudorandom functions. The proven security of MSet-Mu-Hash is in the random oracle model and is based on the hardness of the discrete logarithm problem. The proven security of MSet-VAdd-Hash is also in the random oracle model and is based on the hardness of the worst-case shortest vector problem. We demonstrate how set-collision resistant multiset hash functions make an existing oÔøΩine memory integrity checker secure against active adversaries. We improve on this checker such that it can use smaller time stamps without increasing the frequency of checks. The improved checker uses multiset-collision resistant hash functions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,219
,"Hajiaghayi, MohammadTaghi; Leighton, F. Thomson",2005-12-12T23:22:48Z,2005-12-12T23:22:48Z,2003-07-05,http://hdl.handle.net/1721.1/29829,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,On the Max-Flow Min-Cut Ratio for Directed Multicommodity Flows,"We give a pure combinatorial problem whose solution determines max-flow
min-cut ratio for directed multicommodity flows. In addition, this
combinatorial problem has applications in improving the approximation  factor of Greedy algorithm for maximum edge disjoint path problem. More
precisely, our upper bound improves the approximation factor for this
problem to O(n^{3/4}). Finally, we demonstrate how even for very simple
graphs the aforementioned ratio might be very large.",MIT-CSAIL-TR-2003-002; MIT-LCS-TR-910,5 p.; 7867417 bytes; 389570 bytes,application/postscript; application/pdf,en_US,,Theory of Computation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,243
,"Mukherjee, Sayan; Golland, Polina; Panchenko, Dmitry",2004-10-08T20:39:06Z,2004-10-08T20:39:06Z,2003-08-28,http://hdl.handle.net/1721.1/6723,AIM-2003-019,Permutation Tests for Classification,"We introduce and explore an approach to estimating statistical significance of classification accuracy, which is particularly useful in scientific applications of machine learning where high dimensionality of the data and the small number of training examples render most standard convergence bounds too loose to yield a meaningful guarantee of the generalization ability of the classifier. Instead, we estimate statistical significance of the observed classification accuracy, or the likelihood of observing such accuracy by chance due to spurious correlations of the high-dimensional data patterns with the class labels in the given training set. We adopt permutation testing, a non-parametric technique previously developed in classical statistics for hypothesis testing in the generative setting (i.e., comparing two probability distributions). We demonstrate the method on real examples from neuroimaging studies and DNA microarray analysis and suggest a theoretical analysis of the procedure that relates the asymptotic behavior of the test to the existing convergence bounds.",AIM-2003-019,22 p.; 1135156 bytes; 662639 bytes,application/postscript; application/pdf,en_US,AI; Classification; Permutation testing; Statistical significance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,261
,"Morency, Louis-Philippe",2004-10-20T20:31:42Z,2004-10-20T20:31:42Z,2003-05-01,http://hdl.handle.net/1721.1/7102,AITR-2003-006,Stereo-Based Head Pose Tracking Using Iterative Closest Point and Normal Flow Constraint,"In this text, we present two stereo-based head tracking  techniques along with a fast 3D model acquisition  system. The first tracking technique is a robust  implementation of stereo-based head tracking  designed for interactive environments with uncontrolled  lighting. We integrate fast face detection and drift  reduction algorithms with a gradient-based stereo rigid  motion tracking technique. Our system can  automatically segment and track a user's head under large rotation and illumination variations. Precision and  usability of this approach are compared with previous  tracking methods for cursor control and target selection  in both desktop and interactive room environments.  The second tracking technique is designed to improve  the robustness of head pose tracking for fast  movements. Our iterative hybrid tracker combines  constraints from the ICP (Iterative Closest Point)  algorithm and normal flow constraint. This new  technique is more precise for small movements and  noisy depth than ICP alone, and more robust for large  movements than the normal flow constraint alone. We present experiments which  test the accuracy of our approach on sequences of real  and synthetic stereo images.  The 3D model acquisition system we present quickly  aligns intensity and depth images, and reconstructs a  textured 3D mesh. 3D views are registered with shape  alignment based on our iterative hybrid tracker. We  reconstruct the 3D model using a new Cubic Ray  Projection merging algorithm which takes advantage of  a novel data structure: the linked voxel space. We  present experiments to test the accuracy of our  approach on 3D face modelling using real-time stereo  images.",AITR-2003-006,60 p.; 5276045 bytes; 2896854 bytes,application/postscript; application/pdf,en_US,AI; Head pose estimation; Stereo processing; Cursor control; 3D model acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,223
,"Lee, Lily",2004-10-20T20:32:06Z,2004-10-20T20:32:06Z,2003-06-26,http://hdl.handle.net/1721.1/7109,AITR-2003-014,Gait Analysis for Classification,"This thesis describes a representation of gait appearance for the purpose of person identification and classification. This gait representation is based on simple localized image features such as moments extracted from orthogonal view video silhouettes of human walking motion. A suite of time-integration methods, spanning a range of coarseness of time aggregation and modeling of feature distributions, are applied to these image features to create a suite of gait sequence representations. Despite their simplicity, the resulting feature vectors contain enough information to perform well on human identification and gender classification tasks. We demonstrate the accuracy of recognition on gait video sequences collected over different days and times and under varying lighting environments. Each of the integration methods are investigated for their advantages and disadvantages. An improved gait representation is built based on our experiences with the initial set of gait representations. In addition, we show gender classification results using our gait appearance features, the effect of our heuristic feature selection method, and the significance of individual features.",AITR-2003-014,110 p.; 4040471 bytes; 994319 bytes,application/postscript; application/pdf,en_US,AI; gait recognition; gender classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,240
,"Marjanovic, Matthew J.",2004-10-20T20:32:04Z,2004-10-20T20:32:04Z,2003-06-20,http://hdl.handle.net/1721.1/7108,AITR-2003-013,Teaching an Old Robot New Tricks: Learning Novel Tasks via Interaction with People and Things,"As AI has begun to reach out beyond its symbolic, objectivist roots into the embodied, experientialist realm, many projects are exploring different aspects of creating machines which interact with and respond to the world as humans do. Techniques for visual processing, object recognition, emotional response, gesture production and recognition, etc., are necessary components of a complete humanoid robot. However, most projects invariably concentrate on developing a few of these individual components, neglecting the issue of how all of these pieces would eventually fit together.  The focus of the work in this dissertation is on creating a framework into which such specific competencies can be embedded, in a way that they can interact with each other and build layers of new functionality. To be of any practical value, such a framework must satisfy the real-world constraints of functioning in real-time with noisy sensors and actuators. The humanoid robot Cog provides an unapologetically adequate platform from which to take on such a challenge.  This work makes three contributions to embodied AI. First, it offers a general-purpose architecture for developing behavior-based systems distributed over networks of PC's. Second, it provides a motor-control system that simulates several biological features which impact the development of motor behavior. Third, it develops a framework for a system which enables a robot to learn new behaviors via interacting with itself and the outside world. A few basic functional modules are built into this framework, enough to demonstrate the robot learning some very simple behaviors taught by a human trainer.  A primary motivation for this project is the notion that it is practically impossible to build an ""intelligent"" machine unless it is designed partly to build itself. This work is a proof-of-concept of such an approach to integrating multiple perceptual and motor systems into a complete learning agent.",AITR-2003-013,181 p.; 13057317 bytes; 13082678 bytes,application/postscript; application/pdf,en_US,AI; cog humanoid robot embodied learning phd thesis metaphor pancake reaching vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,239
,"Liskov, Moses",2005-12-22T12:00:00Z,2005-12-22T12:00:00Z,2003-10-14,http://hdl.handle.net/1721.1/30427,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Electronic Cash with Blind Deposits: How to Have No Spare Change,"Electronic cash schemes in which the bank authenticates many coins at once suffer from the problem that coins that are authenticated together can be linked to one another. Unfortunately, unless a user spends coins in a closely prescribed manner, different batches of coins (""wallets"") will be linked together in these schemes. This is illustrated by the problem of what a customer does with the ""spare change"" - an unusable small amount of money left in a wallet. We propose a new protocol to be used in e-cash schemes: blind deposits. In a blind deposit, a customer returns a coin to the bank without revealing the coin. We present a secure and efficient e-cash scheme with this added feature based on that of Liskov-Micali [LM01].",MIT-CSAIL-TR-2003-022; MIT-LCS-TM-639,13 p.; 12754502 bytes; 526739 bytes,application/postscript; application/pdf,en_US,,Theory of Computation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,271
,"Christoudias, Chris Mario; Morency, Louis-Philippe; Darrell, Trevor",2004-10-08T20:38:54Z,2004-10-08T20:38:54Z,2003-04-18,http://hdl.handle.net/1721.1/6716,AIM-2003-010,Light Field Morphable Models,"Statistical shape and texture appearance models are  powerful image representations, but previously had  been restricted to 2D or simple 3D shapes. In this paper  we present a novel 3D morphable model based on  image-based rendering techniques, which can  represent complex lighting conditions, structures, and  surfaces. We describe how to construct a manifold of  the multi-view appearance of an object class using light  fields and show how to match a 2D image of an object  to a point on this manifold. In turn we use the  reconstructed light field to render novel views of the  object. Our technique overcomes the limitations of  polygon based appearance models and uses light  fields that are acquired in real-time.",AIM-2003-010,1375810 bytes; 716555 bytes,application/postscript; application/pdf,en_US,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,215
,"Timoner, Samson",2005-12-12T23:24:20Z,2005-12-12T23:24:20Z,2003-07-04,http://hdl.handle.net/1721.1/29830,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Compact Representations for Fast Nonrigid Registration of Medical Images,"We develop efficient techniques for the non-rigid registration of medical
images by using representations that adapt to the anatomy found in such
images.

 Images of anatomical structures typically have uniform intensity interiors
and smooth boundaries. We create methods to represent such regions
compactly using tetrahedra.  Unlike voxel-based representations, tetrahedra
can accurately describe the expected smooth surfaces of medical
objects. Furthermore, the interior of such objects can be represented using
a small number of tetrahedra. Rather than describing a medical object using
tens of thousands of voxels, our representations generally contain only a few
thousand elements.

Tetrahedra facilitate the creation of efficient non-rigid registration
algorithms based on finite element methods (FEM).  We create a fast,
FEM-based method to non-rigidly register segmented anatomical structures
from two subjects. Using our compact tetrahedral representations, this
method generally requires less than one minute of processing time on a desktop
PC.

We also create a novel method for the non-rigid registration of gray scale
images. To facilitate a fast method, we create a tetrahedral representation
of a displacement field that automatically adapts to both the anatomy in an
image and to the displacement field.  The resulting algorithm has a
computational cost that is dominated by the number of nodes in the mesh
(about 10,000), rather than the number of voxels in an image (nearly
10,000,000). For many non-rigid registration problems, we can find a
transformation from one image to another in five minutes. This speed is
important as it allows use of the algorithm during surgery.

We apply our algorithms to find correlations between the shape of
anatomical structures and the presence of schizophrenia. We show that a
study based on our representations outperforms studies based on other
representations. We also use the results of our non-rigid registration
algorithm as the basis of a segmentation algorithm. That algorithm also
outperforms other methods in our tests, producing smoother segmentations
and more accurately reproducing manual segmentations.",MIT-CSAIL-TR-2003-001; AITR-2003-015,183 p.; 160218641 bytes; 8166856 bytes,application/postscript; application/pdf,en_US,AI; non-rigid registration; medical image processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,242
,"Grauman, Kristen; Darrell, Trevor",2005-12-22T01:15:24Z,2005-12-22T01:15:24Z,2003-12-05,http://hdl.handle.net/1721.1/30438,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Fast Contour Matching Using Approximate Earth Mover's Distance,"Weighted graph matching is a good way to align a pair of shapesrepresented by a set of descriptive local features; the set ofcorrespondences produced by the minimum cost of matching features fromone shape to the features of the other often reveals how similar thetwo shapes are.  However, due to the complexity of computing the exactminimum cost matching, previous algorithms could only run efficientlywhen using a limited number of features per shape, and could not scaleto perform retrievals from large databases.  We present a contourmatching algorithm that quickly computes the minimum weight matchingbetween sets of descriptive local features using a recently introducedlow-distortion embedding of the Earth Mover's Distance (EMD) into anormed space.  Given a novel embedded contour, the nearest neighborsin a database of embedded contours are retrieved in sublinear time viaapproximate nearest neighbors search.  We demonstrate our shapematching method on databases of 10,000 images of human figures and60,000 images of handwritten digits.",MIT-CSAIL-TR-2003-033; AIM-2003-026,16 p.; 18655633 bytes; 2291372 bytes,application/postscript; application/pdf,en_US,AI; contour matching; shape matching; EMD; image retrieval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,284
,"Fitzpatrick, Paul",2004-10-20T20:31:57Z,2004-10-20T20:31:57Z,2003-06-01,http://hdl.handle.net/1721.1/7105,AITR-2003-008,From First Contact to Close Encounters: A Developmentally Deep Perceptual System for a Humanoid Robot,"This thesis presents a perceptual system for a  humanoid robot that integrates abilities such as object  localization and recognition with the deeper  developmental machinery required to forge those  competences out of raw physical experiences. It shows  that a robotic platform can build up and maintain a  system for object localization, segmentation, and  recognition, starting from very little. What the robot  starts with is a direct solution to achieving figure/ground  separation: it simply 'pokes around' in a region of visual  ambiguity and watches what happens. If the arm  passes through an area, that area is recognized as free  space. If the arm collides with an object, causing it to  move, the robot can use that motion to segment the  object from the background. Once the robot can  acquire reliable segmented views of objects, it learns  from them, and from then on recognizes and segments  those objects without further contact. Both low-level and  high-level visual features can also be learned in this  way, and examples are presented for both: orientation  detection and affordance recognition, respectively. The  motivation for this work is simple. Training on large  corpora of annotated real-world data has proven crucial  for creating robust solutions to perceptual problems  such as speech recognition and face detection. But the  powerful tools used during training of such systems are  typically stripped away at deployment. Ideally they  should remain, particularly for unstable tasks such as  object detection, where the set of objects needed in a  task tomorrow might be different from the set of objects  needed today. The key limiting factor is access to  training data, but as this thesis shows, that need not be  a problem on a robotic platform that can actively probe  its environment, and carry out experiments to resolve  ambiguity. This work is an instance of a general  approach to learning a new perceptual judgment:  find special situations in which the perceptual judgment  is easy and study these situations to find correlated  features that can be observed more generally.",AITR-2003-008,19935684 bytes; 7552671 bytes,application/postscript; application/pdf,en_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,232
,"Demsky, Brian; Cadar, Cristian; Roy, Daniel; Rinard, Martin",2005-12-22T01:14:41Z,2005-12-22T01:14:41Z,2003-11-13,http://hdl.handle.net/1721.1/30433,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Efficient Specification-Assisted Error Localization and Correction,"We present a new error localization tool, Archie, that accepts aspecification of key data structure consistency constraints, then generatesan algorithm that checks if the data structures satisfy theconstraints. We also present a set of specification analyses and optimizationsthat (for our benchmark software system) improve theperformance of the generated checking algorithm by over a factorof 3,900 as compared with the initial interpreted implementation,enabling Archie to efficiently support interactive debugging.We evaluate ArchieÂ’s effectiveness by observing the actions oftwo developer populations (one using Archie, the other using standarderror localization techniques) as they attempted to localize andcorrect three errors in a benchmark software system. With Archie,the developers were able to localize each error in less than 10 minutesand correct each error in (usually much) less than 20 minutes.Without Archie, the developers were, with one exception, unableto locate each error after more than an hour of effort. These resultsillustrate ArchieÂ’s potential to substantially improve current errorlocalization and correction techniques.",MIT-CSAIL-TR-2003-028; MIT-LCS-TR-927,10 p.; 19768606 bytes; 820085 bytes,application/postscript; application/pdf,en_US,,Computer Architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,277
,"Koile, Kimberle; Tollmar, Konrad; Demirdjian, David; Shrobe, Howard; Darrell, Trevor",2004-10-08T20:39:02Z,2004-10-08T20:39:02Z,2003-06-10,http://hdl.handle.net/1721.1/6720,AIM-2003-015,Activity Zones for Context-Aware Computing,"Location is a primary cue in many context-aware  computing systems, and is often represented as  a global coordinate, room number, or Euclidean  distance various landmarks. A user?s concept of  location, however, is often defined in terms of regions in  which common activities occur. We show  how to partition a space into such regions based on  patterns of observed user location and  motion. These regions, which we call activity zones,  represent regions of similar user activity, and  can be used to trigger application actions, retrieve  information based on previous context, and  present information to users. We suggest that context-aware applications can benefit from a  location representation learned from observing users.  We describe an implementation of our  system and present two example applications whose  behavior is controlled by users? entry, exit,  and presence in the zones.",AIM-2003-015,12 p.; 17075202 bytes; 8771896 bytes,application/postscript; application/pdf,en_US,AI; context-aware; activity; intelligent environment; ubiquitous; 3d tracker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,237
,"Jamieson, Kyle; Balakrishnan, Hari; Tay, Y.C.",2023-03-29T15:37:15Z,2023-03-29T15:37:15Z,2003-05,https://hdl.handle.net/1721.1/149985,MIT-LCS-TR-894,Sift: A MAC Protocol for Event-Driven Wireless Sensor Networks,"Nodes in sensor networks often encounter spatially-correlated contention, where multiple nodes in the same neighborhood all sense an event they need to transmit information about. Furthermore, in many sensor network applications, it is sufficient if a subset of the nodes that observe the same event report it. We show that traditional carrier-sense multiple access (CSMA) protocols like 802.11 do not handle the first constraint adequately, and do not take advantage of the second property, leading to degraded latency and throughput as the network scales in size.   We present Sift, a medium access protocol for wireless sensor networks designed with the above observations in mind. Sift is a randomized CSMA protocol, but unlike previous protocols, does not use a time-varying contention window from which a node randomly picks a transmission slot. Rather, to reduce the latency for the delivery of event reports, Sift uses a fixed-size contention window and a carefully-chosen, non-uniform probability distribution of transmitting in each slot within the window. We show using simulations that Sift can offer up to a 7-fold latency reduction compared to 802.11 as the size of the sensor network scales up to 500 nodes. We then analytically prove bounds on the best latency achievable by a decentralized CSMA-based MAC protocol for sensor networks where one report of each event is enough, and show that Sift comes close to meeting this bound.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,217
,"Eisenstein, Jacob",2005-12-22T01:12:20Z,2005-12-22T01:12:20Z,2003-10-28,http://hdl.handle.net/1721.1/30431,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Evolving Robocode Tank Fighters,"In this paper, I describe the application of genetic programming to evolve a controller for a robotic tank in a simulated environment.The purpose is to explore how genetic techniques can best be applied to produce controllers based on subsumption and behavior oriented languages such as REX.  As part of my implementation, I developed TableRex, a modification of REX that can be expressed on a fixed-lengthgenome.  Using a fixed subsumption architecture of TableRex modules, I evolved robots that beat some of the most competitive hand-coded adversaries.",MIT-CSAIL-TR-2003-026; AIM-2003-023,24 p.; 21707085 bytes; 716288 bytes,application/postscript; application/pdf,en_US,AI; genetic programming; robotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,274
,"Moh, Chuang-Hue",2023-03-29T15:37:22Z,2023-03-29T15:37:22Z,2003-05,https://hdl.handle.net/1721.1/149988,MIT-LCS-TR-901,Snapshots in a Distributed Persistent Object Storage System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,222
,"Balas, Benjamin J.; Sinha, Pawan",2004-10-20T21:05:11Z,2004-10-20T21:05:11Z,2003-08-13,http://hdl.handle.net/1721.1/7276,AIM-2003-018; CBCL-229,Dissociated Dipoles: Image representation via non-local comparisons,"A fundamental question in visual neuroscience is how to represent image structure. The most common representational schemes rely on differential operators that compare adjacent image regions. While well-suited to encoding local relationships, such operators have significant drawbacks. Specifically, each filter's span is confounded with the size of its sub-fields, making it difficult to compare small regions across large distances. We find that such long-distance comparisons are more tolerant to common image transformations than purely local ones, suggesting they may provide a useful vocabulary for image encoding. . We introduce the ""Dissociated Dipole,"" or ""Sticks"" operator, for encoding non-local image relationships. This operator de-couples filter span from sub-field size, enabling parametric movement between edge and region-based representation modes. We report on the perceptual plausibility of the operator, and the computational advantages of non-local encoding. Our results suggest that non-local encoding may be an effective scheme for representing image structure.",AIM-2003-018; CBCL-229,15 p.; 691165 bytes; 974071 bytes,application/postscript; application/pdf,en_US,AI; image representation; recognition; non-local filtering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,254
,"Donovan, Alan; Ernst, Michael D.",2023-03-29T15:37:03Z,2023-03-29T15:37:03Z,2003-03,https://hdl.handle.net/1721.1/149981,MIT-LCS-TR-889,Inference of Generic Types in Java,"Future versions of Java will include support for parametric polymorphism, or generic classes.  This will bring many benefits to Java programmers, not least because current Java practise makes heavy use of pseudo-generic classes.  Such classes (for example, those in package java.util) have logically generic specifications and documentation, but the type system cannot prove their patterns of use to be safe.   This work aims to solve the problem of automatic translation of Java source code into Generic Java (GJ) source code.  We present two algorithms that together can be used to translate automatically a Java source program into a semantically-equivalent GJ program with generic types.   The first algorithm infers a candidate generalisation for any class, based on the methods of that class in isolation.  The second algorithm analyses the whole program; it determines a precise parametric type for every value in the program.  Optionally, it also refines the generalisations produced by the first analysis as required by the patterns of use of those classes in client code.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,201
,"Kaynar, Dilsun K.; Lynch, Nancy; Segala, Roberto; Vaandrager, Frits",2005-12-19T22:48:27Z,2005-12-19T22:48:27Z,2003-08-27,http://hdl.handle.net/1721.1/30403,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,The Theory of Timed I/O Automata,"Revised version -- November 23, 2004.This paper presents the Timed Input/Output Automaton (TIOA) modeling framework, a basic mathematical framework to support description and analysis of timed systems.",MIT-CSAIL-TR-2003-014; MIT-LCS-TR-917,130 p.; 112222505 bytes; 4311471 bytes,application/postscript; application/pdf,en_US,,Theory of Computation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,258
